IBT,stimulus_number
920.0,1
1010.0,1
920.0,1
490.00000000000006,1
480.00000000000006,1
650.0,1
580.0000000000001,1
500.0,1
740.0,1
670.0,1
870.0000000000001,1
1180.0000000000002,1
880.0,21
860.0000000000001,21
850.0000000000001,21
880.0,21
870.0000000000001,23
910.0,25
930.0,29
930.0,29
910.0,29
940.0,29
960.0,29
950.0,29
930.0,29
950.0,29
930.0,29
940.0,29
910.0,31
920.0,31
930.0,31
920.0,31
910.0,31
910.0,31
900.0,31
900.0,31
890.0,31
910.0,31
890.0,31
900.0,31
900.0,31
930.0,31
900.0,31
930.0,31
900.0,33
890.0,33
880.0,35
910.0,35
880.0,35
910.0,35
920.0,35
930.0,35
880.0,35
930.0,35
930.0,35
920.0,35
910.0,35
900.0,36
880.0,37
920.0,37
900.0,37
880.0,37
910.0,37
920.0,37
880.0,37
880.0,37
870.0000000000001,37
880.0,37
890.0,37
880.0,37
880.0,37
920.0,37
920.0,37
900.0,37
940.0,37
930.0,37
940.0,37
870.0000000000001,37
910.0,37
860.0000000000001,37
870.0000000000001,37
810.0,37
820.0000000000001,37
870.0000000000001,37
890.0,37
970.0,37
970.0,37
840.0000000000001,41
800.0,41
790.0,41
870.0000000000001,41
860.0000000000001,41
840.0000000000001,41
860.0000000000001,41
870.0000000000001,41
840.0000000000001,41
840.0000000000001,41
860.0000000000001,41
850.0000000000001,41
860.0000000000001,43
860.0000000000001,43
880.0,43
860.0000000000001,43
870.0000000000001,47
860.0000000000001,47
840.0000000000001,49
830.0000000000001,49
830.0000000000001,49
830.0000000000001,49
840.0000000000001,49
870.0000000000001,49
850.0000000000001,49
870.0000000000001,49
900.0,49
920.0,49
900.0,49
940.0,49
940.0,49
880.0,49
890.0,49
870.0000000000001,49
850.0000000000001,49
810.0,51
800.0,53
830.0000000000001,53
860.0000000000001,53
880.0,53
870.0000000000001,53
900.0,55
910.0,55
890.0,55
880.0,55
890.0,55
890.0,55
860.0000000000001,55
860.0000000000001,55
860.0000000000001,55
860.0000000000001,55
840.0000000000001,55
850.0000000000001,55
850.0000000000001,55
840.0000000000001,55
860.0000000000001,57
870.0000000000001,57
860.0000000000001,57
840.0000000000001,59
870.0000000000001,59
870.0000000000001,59
870.0000000000001,59
870.0000000000001,59
880.0,59
850.0000000000001,59
890.0,59
840.0000000000001,59
880.0,59
890.0,59
910.0,59
910.0,59
910.0,59
900.0,59
890.0,59
900.0,59
890.0,59
870.0000000000001,59
890.0,59
900.0,59
890.0,59
920.0,59
890.0,59
910.0,59
900.0,59
890.0,59
880.0,59
880.0,59
890.0,59
890.0,59
860.0000000000001,59
890.0,59
870.0000000000001,59
880.0,59
880.0,59
890.0,59
890.0,59
880.0,59
870.0000000000001,59
890.0,59
890.0,59
860.0000000000001,59
880.0,59
840.0000000000001,59
890.0,59
890.0,59
900.0,59
870.0000000000001,59
900.0,59
910.0,59
900.0,59
870.0000000000001,59
890.0,59
870.0000000000001,59
870.0000000000001,59
860.0000000000001,59
880.0,59
890.0,59
910.0,59
910.0,59
920.0,59
940.0,59
930.0,59
920.0,59
900.0,59
920.0,61
900.0,61
910.0,61
890.0,61
890.0,61
870.0000000000001,61
880.0,61
860.0000000000001,61
910.0,61
880.0,61
880.0,61
